City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
70,puerto carreno,6.188,-67.4895,308.24,52,20,4.63,America/Bogota,1675895778
71,husavik,66.0433,-17.341,268.13,71,99,6.06,Atlantic/Reykjavik,1675895780
72,atar,20.5182,-13.0544,300.12,16,100,2.02,Africa/Nouakchott,1675895782
73,merauke,-8.4903,140.3956,300.66,90,100,5.45,Asia/Jayapura,1675895783
74,korhogo,9.4575,-5.6342,309.14,61,100,3.99,Africa/Abidjan,1675895785
75,lebu,-37.61,-73.6559,292.14,85,2,4.94,America/Santiago,1675895788
76,sisimiut,66.9372,-53.6665,255.48,78,93,3.67,America/Nuuk,1675895790
77,vytegra,61.0065,36.4515,274.61,96,97,2.74,Europe/Moscow,1675895791
78,rawson,-43.2991,-65.1057,303.09,35,78,10.02,America/Argentina/Catamarca,1675895794
79,nanortalik,60.14,-45.2429,272.55,83,100,1.75,America/Nuuk,1675895795
80,dhanera,24.5079,72.0235,305.28,26,8,1.43,Asia/Kolkata,1675895797
81,khatanga,71.9819,102.4715,231.56,100,62,1.98,Asia/Krasnoyarsk,1675895798
82,port blair,11.6645,92.739,301.43,74,85,3.18,Asia/Kolkata,1675895800
83,phuthaditjhaba,-28.5342,28.8163,292.28,98,100,2.49,Africa/Johannesburg,1675895801
84,wuwei,37.9289,102.636,277.98,51,14,2.08,Asia/Shanghai,1675895802
85,graaff-reinet,-32.2535,24.5336,298.32,91,100,1.88,Africa/Johannesburg,1675895804
86,tocopilla,-22.0887,-70.1961,297.8,75,58,3.21,America/Santiago,1675895805
87,presidencia roque saenz pena,-26.7909,-60.441,314.67,23,70,1.12,America/Argentina/Cordoba,1675895806
88,muisne,0.6104,-80.0186,301.44,80,17,3.16,America/Guayaquil,1675895808
89,chuy,-33.6938,-53.4561,304.72,79,100,4.28,America/Montevideo,1675895809
90,capitan bado,-23.2653,-55.5373,304.19,66,2,3.43,America/Asuncion,1675895810
91,kaitangata,-46.2817,169.8464,287.57,72,70,6.03,Pacific/Auckland,1675895812
92,sentyabrskiy,12.0,12.0,306.99,21,37,4.17,Africa/Lagos,1675895813
93,goshogawara,40.8076,140.4459,271.94,53,100,8.86,Asia/Tokyo,1675895814
94,batatais,-20.8929,-47.5921,301.18,91,5,1.02,America/Sao_Paulo,1675895815
95,shchelyayur,12.0,12.0,306.99,21,37,4.17,Africa/Lagos,1675895813
96,cidreira,-30.1657,-50.2183,300.74,82,1,7.97,America/Sao_Paulo,1675895817
97,ko samui,9.5014,99.9956,297.69,74,20,3.6,Asia/Bangkok,1675895819
98,avarua,-21.2075,-159.7708,302.14,74,42,5.66,Pacific/Rarotonga,1675895820
99,lady frere,-31.7028,27.2336,290.15,97,100,2.57,Africa/Johannesburg,1675895821
100,hokitika,-42.7179,170.9646,289.73,53,79,4.33,Pacific/Auckland,1675895822
101,georgetown,6.8137,-58.1624,301.14,74,20,4.12,America/Guyana,1675895824
102,ekibastuz,51.7276,75.3289,257.61,100,90,1.27,Asia/Almaty,1675895826
103,airai,-8.9266,125.4092,294.77,92,99,1.24,Asia/Dili,1675895828
104,guerrero negro,27.971,-114.0364,294.21,20,0,4.89,America/Mazatlan,1675895830
105,guadalupe y calvo,26.0915,-106.9617,288.77,11,0,3.52,America/Chihuahua,1675895831
106,palmer,61.5996,-149.1111,268.67,84,100,0.45,America/Anchorage,1675895833
107,jalu,29.0331,21.5482,294.81,45,98,5.45,Africa/Tripoli,1675895835
108,broome,-17.9567,122.224,303.34,84,40,4.12,Australia/Perth,1675895836
109,wilmington,39.7459,-75.5466,284.61,51,60,0.45,America/New_York,1675895838
110,taolanaro,12.0,12.0,306.99,21,37,4.17,Africa/Lagos,1675895813
111,bethel,60.7922,-161.7558,252.35,84,100,2.57,America/Anchorage,1675895841
112,hilo,19.7074,-155.0816,296.29,80,100,1.54,Pacific/Honolulu,1675895842
113,znamenskoye,43.6773,45.1288,269.52,94,100,2.79,Europe/Moscow,1675895844
114,port-gentil,-0.7149,8.7797,301.08,89,40,3.09,Africa/Libreville,1675895845
115,kapaa,22.0747,-159.3192,297.86,66,75,9.77,Pacific/Honolulu,1675895847
116,viedma,-40.8084,-62.9947,302.64,39,50,5.11,America/Argentina/Salta,1675895849
117,san carlos del zulia,9.0005,-71.9259,304.7,65,55,2.07,America/Caracas,1675895850
118,nome,64.5011,-165.4064,255.19,78,100,2.06,America/Nome,1675895852
119,torbay,47.6577,-52.727,272.72,96,100,8.75,America/St_Johns,1675895853
120,faanui,-16.4824,-151.7338,300.02,73,15,4.61,Pacific/Tahiti,1675895855
121,kirakira,-10.4569,161.9202,302.32,80,97,4.4,Pacific/Guadalcanal,1675895856
122,kytmanovo,53.4637,85.4503,258.75,100,95,0.74,Asia/Barnaul,1675895857
123,ixtapa,16.8033,-92.9054,302.93,32,3,1.67,America/Mexico_City,1675895858
124,kodiak,57.79,-152.4072,271.88,40,0,1.54,America/Anchorage,1675895860
125,dudinka,69.4061,86.1751,255.03,91,100,6.9,Asia/Krasnoyarsk,1675895861
126,bayir,30.762,36.6802,283.3,80,79,4.46,Asia/Amman,1675895862
127,ponta do sol,32.6811,-17.1041,289.92,55,34,3.17,Atlantic/Madeira,1675895863
128,arraial do cabo,-22.9663,-42.0244,299.14,83,75,1.54,America/Sao_Paulo,1675895864
129,xuddur,4.1237,43.8916,307.96,67,17,6.69,Africa/Mogadishu,1675895866
130,luderitz,-26.65,15.1573,296.19,97,17,5.96,Africa/Windhoek,1675895867
131,coihaique,-45.5712,-72.0685,296.64,70,88,3.69,America/Santiago,1675895868
132,palmeira das missoes,-27.9011,-53.3136,308.5,27,64,1.14,America/Sao_Paulo,1675895869
133,ivankiv,50.933,29.9043,271.11,93,38,1.94,Europe/Kiev,1675895870
134,vostok,-10.0621,-152.3126,300.76,71,11,7.13,Pacific/Kiritimati,1675895871
135,balkanabat,39.5116,54.354,278.62,78,100,2.45,Asia/Ashgabat,1675895872
136,bredasdorp,-34.5331,20.0428,299.28,81,3,6.23,Africa/Johannesburg,1675895874
137,mandalgovi,45.763,106.2704,267.75,94,87,1.44,Asia/Ulaanbaatar,1675895875
138,lavrentiya,65.5838,-171.0058,249.77,89,100,1.07,Asia/Anadyr,1675895876
139,sakaraha,-22.9119,44.5324,304.41,78,100,1.51,Indian/Antananarivo,1675895877
140,lompoc,34.6392,-120.4579,295.23,26,0,2.57,America/Los_Angeles,1675895881
141,cravo norte,6.2992,-70.2065,307.95,42,90,3.01,America/Bogota,1675895884
142,margate,51.3878,1.382,279.37,62,18,5.11,Europe/London,1675895885
143,mahebourg,-20.4111,57.7061,300.36,83,75,3.6,Indian/Mauritius,1675895887
144,nouakchott,18.0792,-15.978,298.23,33,100,5.64,Africa/Nouakchott,1675895889
145,san andres,12.5203,122.0117,299.69,78,100,5.62,Asia/Manila,1675895890
146,qaanaaq,77.4686,-69.2223,241.6,70,17,2.73,America/Thule,1675895891
147,kabare,-2.3896,28.7568,295.75,92,69,0.57,Africa/Lubumbashi,1675895893
148,leningradskiy,54.1291,79.2367,255.45,100,100,0.18,Asia/Novosibirsk,1675895894
149,oussouye,12.489,-16.5433,308.39,67,0,4.05,Africa/Dakar,1675895896
